Sex,Fare,Age,Survived
male,7.25,22,0
female,71.2833,38,1
female,7.925,26,1
female,53.1,35,1
male,8.05,35,0
male,51.8625,54,0
male,21.075,2,0
female,11.1333,27,1
female,30.0708,14,1
female,16.7,4,1
female,26.55,58,1
male,8.05,20,0
male,31.275,39,0
female,7.8542,14,0
female,16,55,1
male,29.125,2,0
female,18,31,0
male,26,35,0
male,13,34,1
female,8.0292,15,1
male,35.5,28,1
female,21.075,8,0
female,31.3875,38,1
male,263,19,0
male,27.7208,40,0
male,10.5,66,0
male,82.1708,28,0
male,52,42,0
male,8.05,21,0
female,18,18,0
female,11.2417,14,1
female,9.475,40,0
female,21,27,0
female,41.5792,3,1
female,7.8792,19,1
female,17.8,18,0
male,39.6875,7,0
male,7.8,21,0
female,76.7292,49,1
female,26,29,1
male,61.9792,65,0
female,10.5,21,1
male,7.2292,29,0
female,27.75,5,1
male,46.9,11,0
male,7.2292,22,0
female,80,38,1
male,83.475,45,0
male,27.9,4,0
female,10.5,29,1
male,8.1583,19,0
female,7.925,17,1
male,8.6625,26,0
male,10.5,32,0
female,46.9,16,0
male,73.5,21,0
male,14.4542,26,0
male,56.4958,32,1
male,7.65,25,0
male,29,1,1
female,12.475,30,1
male,9,22,0
male,9.5,29,1
male,47.1,28,0
female,10.5,17,1
female,15.85,33,1
male,34.375,16,0
female,263,23,1
male,8.05,24,0
male,8.05,29,0
male,7.8542,20,0
male,61.175,46,0
male,20.575,26,0
male,7.25,59,0
male,34.6542,71,0
male,63.3583,23,1
female,23,34,1
male,26,34,0
female,7.8958,28,0
male,77.2875,21,0
male,8.6542,33,0
male,7.925,37,0
male,7.8958,28,0
female,7.65,21,1
male,7.8958,38,0
male,52,47,0
female,14.4542,15,0
male,8.05,22,0
female,9.825,20,0
female,14.4583,17,0
male,7.925,21,0
male,7.75,71,0
male,21,29,0
male,247.5208,24,0
female,31.275,2,0
male,73.5,21,0
male,30.0708,33,0
female,13,33,1
male,77.2875,54,0
male,11.2417,12,1
male,7.1417,24,1
male,6.975,45,0
male,7.8958,33,0
male,7.05,20,0
female,14.5,47,0
female,26,29,1
male,13,25,0
male,15.0458,23,0
female,26.2833,19,1
male,53.1,37,0
male,9.2167,16,0
male,79.2,24,0
female,7.75,22,1
female,15.85,24,1
male,6.75,19,0
male,11.5,18,0
male,36.75,19,0
male,7.7958,27,1
female,34.375,9,0
male,26,37,0
male,13,42,0
male,12.525,51,0
female,66.6,22,1
male,8.05,56,0
male,14.5,41,0
male,61.3792,51,0
female,7.7333,16,1
male,8.05,30,0
male,16.1,44,0
female,15.75,40,1
male,7.775,26,0
male,8.6625,17,0
male,39.6875,1,0
male,20.525,9,1
female,27.9,45,0
male,56.4958,28,0
male,33.5,61,0
male,29.125,4,0
female,11.1333,1,1
male,7.925,21,0
male,30.6958,56,0
male,7.8542,18,0
female,28.7125,50,0
male,13,30,0
male,0,36,0
male,31.3875,9,0
male,39,1,1
female,22.025,4,1
male,26.55,45,1
male,15.5,40,0
male,7.8958,36,0
female,13,32,1
male,13,19,0
female,7.8542,19,1
male,26,3,1
female,27.7208,44,1
female,146.5208,58,1
male,8.4042,42,0
female,13,24,0
male,9.5,28,0
male,6.4958,34,0
male,7.225,46,0
male,8.05,18,1
female,10.4625,2,0
male,15.85,32,0
male,18.7875,26,1
female,7.75,16,1
male,31,40,1
male,7.05,24,0
female,21,35,1
male,7.25,22,0
male,13,30,0
female,113.275,31,1
female,7.925,27,1
male,27,42,0
female,76.2917,32,1
male,10.5,30,0
male,8.05,16,1
male,13,27,0
male,8.05,51,0
male,90,38,1
male,9.35,22,0
male,10.5,19,1
male,7.25,21,0
male,13,18,0
female,83.475,35,1
male,7.775,29,0
male,13.5,59,0
female,31.3875,5,1
male,10.5,24,0
male,26,44,0
female,26.25,8,1
male,10.5,19,0
male,12.275,33,0
male,10.5,29,0
male,7.125,22,0
male,7.225,30,0
male,90,44,0
female,7.775,25,0
female,14.5,24,1
male,52.5542,37,1
male,26,54,0
female,10.4625,29,0
male,26.55,62,0
male,16.1,30,0
female,20.2125,41,0
female,15.2458,29,1
female,86.5,30,1
female,512.3292,35,1
female,26,50,1
male,31.3875,3,1
male,79.65,52,0
male,0,40,0
male,10.5,36,0
male,39.6875,16,0
male,7.775,25,1
female,153.4625,58,1
female,135.6333,35,1
male,0,25,1
female,19.5,41,1
male,29.7,37,0
female,77.9583,63,1
female,7.75,45,0
male,29.125,7,0
female,20.25,35,1
male,7.75,65,0
male,7.8542,28,0
male,9.5,16,0
male,8.05,19,1
male,8.6625,33,0
male,9.5,30,1
male,7.8958,22,0
male,13,42,1
female,7.75,22,1
female,78.85,26,1
female,91.0792,19,1
male,12.875,36,0
female,8.85,24,0
male,7.8958,24,0
male,7.2292,24,0
female,151.55,2,0
female,247.5208,50,1
male,0,19,0
male,151.55,1,1
female,108.9,17,1
male,24,30,0
female,56.9292,30,1
female,83.1583,24,1
female,262.375,18,1
female,26,26,0
male,7.8958,28,0
male,26.25,43,0
female,7.8542,26,1
female,26,24,1
male,14,54,0
female,164.8667,31,1
female,134.5,40,1
male,7.25,22,0
male,7.8958,27,0
female,12.35,30,1
female,29,22,1
female,135.6333,36,1
male,6.2375,61,0
female,13,36,1
female,20.525,31,1
female,57.9792,16,1
male,28.5,46,0
male,153.4625,38,0
male,18,16,0
male,66.6,29,0
female,134.5,41,1
male,8.05,45,1
male,35.5,45,0
male,26,2,1
female,263,24,1
male,13,28,0
male,13,25,0
male,13,36,0
female,13,24,1
female,13,40,1
male,15.9,3,1
male,8.6625,42,0
male,9.225,23,0
male,7.2292,15,0
male,17.8,25,0
male,9.5,28,0
female,55,22,1
female,13,38,0
male,27.9,40,0
male,27.7208,29,0
female,14.4542,45,0
male,7.05,35,0
male,7.25,30,0
female,75.25,60,1
female,69.3,24,1
male,55.4417,25,1
male,6.4958,18,0
male,8.05,19,0
male,135.6333,22,0
female,21.075,3,0
female,7.25,22,1
male,211.5,27,0
male,4.0125,20,0
male,7.775,19,0
female,227.525,42,1
female,15.7417,1,1
male,7.925,32,0
female,52,35,1
male,73.5,18,0
male,46.9,1,0
female,13,36,1
female,12,17,1
male,120,36,1
male,7.7958,21,1
male,7.925,28,0
female,113.275,23,1
female,16.7,24,1
male,7.7958,22,0
female,7.8542,31,0
male,26,46,0
male,10.5,23,0
female,12.65,28,1
male,7.925,39,1
male,8.05,26,0
female,9.825,21,0
male,15.85,28,0
female,8.6625,20,0
male,21,34,0
male,7.75,51,0
male,18.75,3,1
male,7.775,21,0
female,90,33,1
male,7.925,44,1
female,32.5,34,1
female,13,18,1
male,13,30,0
female,24.15,10,0
male,7.7333,21,0
male,7.875,29,0
female,14.4,28,0
male,20.2125,18,0
female,26,28,1
female,26,19,1
male,8.05,32,1
male,26.55,28,1
female,26,42,1
male,7.125,17,0
male,55.9,50,0
female,120,14,1
female,34.375,21,0
female,18.75,24,1
male,263,64,0
male,10.5,31,0
female,26.25,45,1
male,9.5,20,0
male,7.775,25,0
female,13,28,1
male,81.8583,4,1
female,19.5,13,1
male,26.55,34,1
female,19.2583,5,1
male,30.5,52,1
male,27.75,36,0
male,27.75,30,0
male,89.1042,49,1
male,7.8958,29,1
male,26.55,65,0
female,10.5,50,1
male,26.55,48,1
male,8.05,34,0
male,38.5,47,0
male,13,48,0
male,7.05,38,0
male,26.55,56,0
female,19.2583,1,1
male,8.6625,38,0
female,27.75,33,1
female,13.7917,23,1
female,9.8375,22,0
male,21,34,0
male,7.0458,29,0
male,7.5208,22,0
female,12.2875,2,1
male,46.9,9,0
male,8.05,50,0
female,9.5875,63,1
male,91.0792,25,1
female,90,35,1
male,29.7,58,0
male,8.05,30,0
male,15.9,9,1
male,7.25,21,0
male,30.5,55,0
male,49.5042,71,0
male,8.05,21,0
female,78.2667,54,1
female,151.55,25,0
male,7.7958,24,0
male,8.6625,17,0
female,7.75,21,0
female,9.5875,37,0
female,86.5,16,1
